,text
83,AUGUST FALLOUT: Only 400 Shikaras are rowing out of total 4500 in #Kashmir's Dal Lake as tourists continue to stay… https://t.co/zk3kjqnrq1
84,RT @zamud_doudd: PublicSafetyAct (PSA)-detention without any charge or any trial for upto 2 years!Wailing mothers and heart broken fathers!…
85,"RT @zari_pakistani: Kashmiris Use Memes to Mock Government's Social Media Ban, Slow 2G Services

Users have mocked the authorities for thei…"
86,"RT @zubair_b_l: We Remember Kunan-Poshpora 

Accused call themselves as most professional army in the world 

Never forget , never forgive…"
87,"@FLOTUS
 
@IvankaTrump
 
@MELANIATRUMP
 
This is what is being done to women of #Kashmir since decades &amp; still no c… https://t.co/t60Dza92Tv"
88,"Today the new weapon are stones,  tutored by #Kashmir. Whether it is #chaandbagh #JaffrabadKaShaheenBagh etc.  Duri… https://t.co/O6X215Qsq3"
89,"RT @LostInParad: Fearless Kashmiri American women marching alongside 300,000 fellow American women and educating them about brutal Human Ri…"
90,"RT @PTIofficial: Kashmir is a bleeding wound in the heart of the Islamic world. 203 Days of brutality, lockdown sufferings and what not. Ev…"
91,"RT @Shazia: What mountains have witnessed nearly 3 decades ago,in 2 nondescript villages of #KunanPoshpora, will India &amp; rest of the world…"
92,"RT @human_kashmir: WITH DUE RESPECT, INTERNET IS BLOCKED IN #KASHMIR. EITHER INDIA IS NOT A DEMOCRACY OR #KASHMIR IS NOT A PART OF INDIA. I…"
93,"RT @786__Zakia: The next time you see a Kashmiri, give them a hug!

#Kashmir https://t.co/fAoE1U41Hp"
94,RT @the_hindu: #TheHuddle2020 | The release of the “remaining six to seven” top political leaders of J&amp;K would only be possible after a sec…
95,"RT @toronto4kashmir: Listen to the voices of the Kunan Poshpora victims. 

29 years since the #KunanPoshpora mass rape. 29 years of impunit…"
96,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
97,RT @the_hindu: #TheHuddle2020 | The release of the “remaining six to seven” top political leaders of J&amp;K would only be possible after a sec…
98,RT @ShamsIrfan27: A new normal in #Kashmir: army men stopping people randomly to check their phones. Go through personal stuff. And if they…
99,RT @786__Zakia: @majorgauravarya Peaceful #Kashmir https://t.co/5yb8SqMPwA
100,@HerNameIs_Bea's account has been withheld in India in response to a legal demand. Learn more.
101,International leaders and community have started speaking against the hostility of Indian Government in #Kashmir. T… https://t.co/kwCBTGCvPL
102,"RT @IamOnir: 30 years ... and justice still eludes the survivors of #KunanPoshpora mass rape .
#kashmir 

That Night in Kunan Poshpora by Z…"
